comment_num,img,price,shop,title
2万+,,5699.00,雷神京东自营官方旗舰店,雷神(ThundeRobot) 911Air星战四代 15.6英寸
2000+,,11999.00,玩家国度ROG京东自营官方旗舰店,ROG枪神6 第12代英特尔酷睿i7 15.6英寸电竞
1万+,,3999.00,OPPO京东自营官方旗舰店,OPPO Reno8 Pro+ 12GB+256GB 逍遥青 天玑8100-MAX 自研影像芯片 5000万索尼旗舰主摄 120Hz超清屏幕 5G
1万+,,1599.00,真我realme京东自营旗舰店,realme真我Q5 6nm骁龙5G芯 60W智慧闪充 5000mAh超大电池 8GB+128GB 冰河斩浪 5G智能
2万+,,988.00,京铠玄手机旗舰店,小米 红米Note9 5G
2万+,//img11.360buyimg.com/n7/jfs/t1/194532/40/14445/97532/60fa738dE8ce671d6/a516bc6f007cafdd.jpg.avif,4999.00,七彩虹京东自营旗舰店,七彩虹（Colorful）iGame GeForce RTX 3070 Ti Ultra W OC 8G 1770-1800Mhz 赛博朋克2077游戏光追电脑
10万+,//img11.360buyimg.com/n7/jfs/t1/137247/12/21652/297274/621c7dcdEb9374221/3e5f03437faa48d3.jpg.avif,12299.00,联想京东自营旗舰店,联想拯救者Y9000P 2022 英特尔酷睿i7 16英寸
1万+,//img12.360buyimg.com/n7/jfs/t1/157898/35/25906/100196/62d35b73E99b509f4/9006801a6ed684e9.jpg.avif,7299.00,小米官方授权专卖店,小米
2000+,,6588.00,机械革命旗舰店,电脑 2022款全新锐龙AMD高端满血3060支持独显直连电竞
10万+,,1699.00,小米京东自营旗舰店,Redmi Note11T Pro 5G 天玑8100 144HzLCD旗舰直屏 67W快充 6GB+128GB子夜黑 5G智能
20万+,,2999.00,一加手机京东自营官方旗舰店,一加 9 5G 享OPPO官方售后 120Hz 柔性屏12GB+256GB 鲸蓝 骁龙888 65W快充 哈苏专业模式 超广角拍照游戏
2万+,,7299.00,雷神京东自营官方旗舰店,雷神(ThundeRobot)911Zero 16英寸
2万+,,6699.00,雷神京东自营官方旗舰店,雷神(ThundeRobot)911Air星战2022 15.6英寸
20万+,,5999.00,戴尔京东自营官方旗舰店,戴尔(DELL)
5000+,,7299.00,机械革命京东自营官方旗舰店,机械革命蛟龙16  2.5K 240Hz 16英寸
100+,,3999.00,努比亚京东自营旗舰店,努比亚（nubia）红魔7S 8GB+128GB 暗夜骑士 新骁龙8+ 稳帧引擎 ICE魔冷散热 165Hz高刷 5G电竞游戏
1万+,,2749.00,OPPO京东自营官方旗舰店,OPPO K10 Pro 钛黑 8+256GB 高通骁龙888 80W超级闪充 索尼IMX766旗舰传感器 OLED屏幕 5G
5万+,//img12.360buyimg.com/n7/jfs/t1/194524/20/14438/97458/60fa2aacEbf4a2d26/7386d351cf5cd422.jpg.avif,3099.00,七彩虹京东自营旗舰店,七彩虹（Colorful）iGame GeForce RTX 3060 Ultra W OC 12G L 1822MHz GDDR6电竞游戏光追电脑独立
2万+,//img14.360buyimg.com/n7/jfs/t1/167926/17/25891/550696/6214bde2E6db1f3b4/e859ba05aa866b06.jpg.avif,3799.00,技嘉京东自营官方旗舰店,技嘉魔鹰RTX 3060 Ti GAMING OC
5万+,,3199.00,华硕京东自营旗舰店,华硕 ASUS TUF  GeForce RTX3060-O12G-V2-GAMING LHR版 电竞游戏专业独立
5万+,,2099.00,华硕京东自营旗舰店,华硕 ASUS ATS GeForce RTX3050-O8G-GAMING 巨齿鲨 电竞游戏专业独立
1万+,//img12.360buyimg.com/n7/jfs/t1/140483/36/27511/141973/62a1ab5bE3b30b5aa/e1b0680df9f00e4d.jpg.avif,1499.00,磐镭数码官方旗舰店,磐镭gtx1070 8g台式机DDR5游戏4K全新
1000+,,7199.00,机械革命游戏本京东自营旗舰店,机械革命蛟龙5＆7E增强版 2022款
2万+,,6699.00,联想航电授权专卖店,联想（Lenovo） 拯救者r7000 ps设计锐龙R5六核吃鸡
91,,3488.00,锦杰电脑专营店,紫金侠 2022
5000+,,7199.00,宏碁电脑京东自营旗舰店,宏碁（acer） 暗影骑士·擎
20万+,,2799.00,小米京东自营旗舰店,Redmi K50 天玑8100 2K柔性直屏 OIS光学防抖 67W快充 5500mAh大电量 墨羽 12GB+256GB 5G智能
1万+,,1899.00,魅族京东自营旗舰店,魅族 18X 8GB+128GB 禅 5G 骁龙870 120Hz刷新率 4300mAh大电池 6400万AI超清三摄 全网通拍照
2万+,,3299.00,iQOO京东官方自营旗舰店,vivo iQOO Neo6 12GB+256GB 黑爵 全新一代骁龙8 独立显示芯片Pro 双电芯80W闪充 双模5G全网通
10万+,,4799.00,神舟电脑京东自营旗舰店,神舟(HASEE)战神S7-TA5NB 15.6英寸
2000+,,9499.00,玩家国度ROG京东自营官方旗舰店,ROG魔霸6 15.6英寸2.5K 165Hz P3广色域
1万+,,9299.00,玩家国度ROG京东自营官方旗舰店,ROG魔霸新锐2022 15.6英寸2.5K 165Hz
2万+,,9699.00,三星京东自营官方旗舰店,三星 SAMSUNG Galaxy S22 Ultra 超视觉夜拍系统  超耐用精工设计 大屏S Pen书写 12GB+256GB 曜夜黑 5G
10万+,,3999.00,小米京东自营旗舰店,小米12 骁龙8 Gen1 黄金手感 6.28英寸视感屏 120Hz高刷 5000万疾速影像 67W快充 8GB+256GB 蓝色 5G
50万+,,1099.00,OPPO京东自营官方旗舰店,OPPO K7x 6+128GB 云之彼端 4800万四摄 5000mAh长续航 90Hz电竞屏  30W闪充 智能 5G
10万+,,1799.00,OPPO京东自营官方旗舰店,OPPO K9s 8+256GB 幻紫流沙 骁龙778G 120Hz电竞屏 5000mAh长续航 6400万人像三摄 拍照 5G
5万+,,3599.00,微星京东自营旗舰店,微星（MSI）魔龙Z GeForce RTX 3060 GAMING Z TRIO 12G 超频版 旗舰款 电竞游戏设计专业电脑
1万+,,999.00,磐镭数码官方旗舰店,磐镭gtx1060 3g台式机游戏全新
10万+,,1399.00,微星京东自营旗舰店,微星（MSI）GeForce GTX 1050 Ti GAMING X 4G 1290-1493MHZ 128BIT GDDR5 旗舰红龙 吃鸡
2万+,,6699.00,华硕京东自营官方旗舰店,华硕(ASUS)天选2 11代英特尔酷睿i7 15.6英寸
2万+,,8499.00,华硕京东自营官方旗舰店,华硕天选3 锐龙版15.6英寸
20万+,,7799.00,联想京东自营旗舰店,联想拯救者R7000P 2022 15.6英寸
5万+,//img10.360buyimg.com/n7/jfs/t1/181200/13/10438/85396/60d0271fE886372f7/4d68b7bbe142b7e4.jpg.avif,4399.00,华硕京东自营旗舰店,华硕 ASUS TUF GeForce RTX3070-O8G-V2-GAMING 电竞游戏专业独立
1000+,//img12.360buyimg.com/n7/jfs/t1/213443/1/11278/395052/61e66ff1E34998f29/0ac09b387312a2a2.jpg.avif,1599.00,七彩虹旗舰店,七彩虹（Colorful） iGame GTX1650 4G Ultra 战斧 台式电脑游戏
2万+,,3099.00,技嘉京东自营官方旗舰店,技嘉小雕（GIGABYTE）AORUS GeForce RTX 3060 ELITE 12G 2.0版本竞游戏设计智能学习电脑独立
200+,,4398.00,烁影手机旗舰店,vivo X80
10万+,,2699.00,荣耀京东自营旗舰店,荣耀70 IMX800三主摄 双曲屏设计 高通骁龙778G Plus 66W快充 5G
2万+,,1099.00,iQOO京东官方自营旗舰店,vivo iQOO U5x 8GB+128GB极昼蓝 骁龙680 5000mAh大电池 6.51英寸大屏幕 智慧三摄 全网通智能
2万+,,8499.00,雷神京东自营官方旗舰店,雷神(ThundeRobot)911P1 15.6英寸高性能
2万+,,5399.00,神舟电脑京东自营旗舰店,神舟(HASEE)战神Z7-DA7NS 新12代i7-12650H RTX3050 15.6英寸
2万+,,7699.00,机械革命京东自营官方旗舰店,机械革命钛钽PLUS 17.3英寸165Hz电竞
10万+,,3999.00,iQOO京东官方自营旗舰店,vivo iQOO 9 12GB+256GB 赛道版 E5超视网膜屏 全新一代骁龙8 120W超快闪充 KPL官方电竞
20万+,,1299.00,荣耀京东自营旗舰店,荣耀Play5 5G 66W超级快充 6400万超清四摄  6.53英寸大屏 8GB+128GB 冰岛幻境 双卡双待 全网通
0,,3999.00,真我realme京东自营旗舰店,realme真我GT2大师探索版 骁龙8+旗舰芯 新一代X7独显芯片 5000mAh+100W光速秒充 12GB+256GB 冰岛 5G
5万+,,3199.00,七彩虹京东自营旗舰店,七彩虹（Colorful) iGame GeForce RTX 3060 Advanced OC 12G L 1867MHz GDDR6电竞游戏光追电脑独立
5万+,,2699.00,七彩虹京东自营旗舰店,七彩虹（Colorful）iGame GeForce RTX 2060 12G Ultra W OC 1695MHz GDDR6 电竞游戏电脑
2万+,,4699.00,七彩虹京东自营旗舰店,七彩虹（Colorful）iGame GeForce RTX 3070 Ti bilibili E-sports Edition OC LHR
5万+,,1649.00,技嘉京东自营官方旗舰店,技嘉 GIGABYTE GeForce GTX 1660 OC 6G竞游戏设计智能学习电脑独立
1万+,,5999.00,戴尔官方旗舰店,戴尔（DELL） 【现货速发】游匣G15-5511 15.6英寸11代酷睿可选3060
1000+,,8499.00,玩家国度ROG京东自营官方旗舰店,ROG幻13 2022 13.4英寸高色域翻转触控全面屏轻薄办公
20万+,,8799.00,戴尔京东自营官方旗舰店,戴尔(DELL)
200+,,1349.00,磐镭电脑组件京东自营旗舰店,磐镭 AMD RX6500XT/RX5500XT 8G
2万+,,5699.00,华硕京东自营旗舰店,华硕 ASUS ROG-STRIX-GeForce  RTX3070TI-O8G-GAMING 电竞游戏专业独立
200+,,169.00,小影霸电脑配件旗舰店,【超值推荐 精选好物】小影霸(Hasee神舟）1G 办公独显
5000+,,3599.00,联想京东自营旗舰店,联想拯救者Y90电竞游戏
2万+,,689.00,金诚旗舰店,新款天语Max八核智能
20万+,,1399.00,真我realme京东自营旗舰店,realme 真我Q3s 骁龙778G 5G 144Hz变帧屏 5000mAh大电池 8+128GB 夜空蓝 5G
50万+,,6148.00,Apple产品京东自营旗舰店,Apple iPhone 13 (A2634) 128GB 星光色 支持移动联通电信5G 双卡双待
500+,,5799.00,玩家国度ROG京东自营官方旗舰店,ROG游戏
2万+,,8499.00,雷神京东自营官方旗舰店,雷神(ThundeRobot)911Zero 16英寸
10万+,,19999.00,惠普（HP）OMEN暗影精灵京东自营旗舰店,惠普(HP)暗影精灵8Plus
2万+,,5299.00,雷神京东自营官方旗舰店,雷神(ThundeRobot) 911Air星战四代 15.6英寸
20万+,,2999.00,小米京东自营旗舰店,Redmi K50 Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 墨羽 8GB+128GB 5G智能
1万+,,1799.00,iQOO官方旗舰店,vivo iQOO Neo5SE 骁龙870 144Hz竞速屏 55W闪充5G全网通电竞游戏智能
50万+,,1049.00,荣耀京东自营旗舰店,荣耀Play5T 22.5W超级快充 5000mAh大电池 6.5英寸护眼屏 全网通8GB+128GB极光蓝
1万+,,3299.00,iQOO官方旗舰店,vivo iQOO 8 骁龙888 独立显示芯片 120W闪充 120Hz十亿色全感屏 电竞游戏
500+,,1148.00,呆呆二手电脑配件专营店,【二手9新】微星华硕影驰GTX1070 8G电脑吃鸡lol游戏台式独立
1万+,,6099.00,七彩虹京东自营旗舰店,七彩虹（Colorful）水神iGame GeForce RTX 3080 Neptune OC 10G LHR 1785Mhz 赛博朋克2077一体式水冷
5000+,,2399.00,七彩虹京东自营旗舰店,七彩虹（Colorful）iGame GeForce RTX 3050 Ultra W OC 8G 1860Mhz电竞游戏
1万+,,2899.00,铭瑄京东自营旗舰店,铭瑄（MAXSUN）MS-GeForce RTX3060 iCraft OC 12G  电竞之心超频版游戏
1万+,,8999.00,华硕电脑官方旗舰店,华硕天选3 第12代英特尔酷睿i7 高颜值高性能电竞高端
2000+,,5499.00,华硕电脑官方旗舰店,华硕天选2 AMD锐龙R7八核 15.6英寸 高性能
5000+,,7799.00,戴尔速达专卖店,戴尔（DELL）
5万+,,7499.00,宏碁京东自营旗舰店,宏碁 暗影骑士·擎 15.6英寸2.5K屏
2万+,,4599.00,技嘉京东自营官方旗舰店,技嘉超级雕 GIGABYTE AORUS GeForce RTX 3070 MASTER 8G LHR电竞游戏设计智能学习电脑独立
10万+,,2699.00,微星京东自营旗舰店,微星（MSI）万图师 GeForce RTX 2060 VENTUS 12G OC 超频版 电竞游戏设计专业电脑
5万+,,3499.00,盈通显卡京东自营旗舰店,盈通（yeston）AMD RADEON RX 6700XT 樱瞳花嫁纪念版 7nm RDNA2架构 12GB GDDR6 电竞游戏 吃鸡 台式机
1000+,,1449.00,七彩虹旗舰店,七彩虹（Colorful） iGame GTX1650 4G Ultra 战斧 台式电脑游戏
5万+,,4799.00,一加手机京东自营官方旗舰店,一加 10 Pro 享OPPO官方售后 全新骁龙8 120Hz柔性屏 哈苏影像2.0 80W超级闪充 12GB+256GB破界黑 5G游戏
2万+,,2499.00,一加手机京东自营官方旗舰店,一加 Ace 竞速版 享OPPO官方售后 天玑8100-MAX 120Hz变速电竞直屏 6400万全场景三摄12GB+256GB竞技灰5G
10万+,,1199.00,荣耀京东自营旗舰店,荣耀Play5 活力版 66W超级快充 120Hz全速屏 6400万超清影像 全网通版 8GB+128GB 幻夜黑
1000+,,3569.00,联想京东自营官方旗舰店,联想拯救者Y90电竞
500+,,7499.00,宏碁京东自营旗舰店,宏碁2022款 新暗影骑士龙 15.6英寸
5万+,,6699.00,华硕京东自营官方旗舰店,华硕(ASUS)天选2 15.6英寸
2万+,,7299.00,惠普授权旗舰店,暗夜精灵
2万+,,3469.00,OPPO京东自营官方旗舰店,OPPO Find X5 8+128GB 雅白 骁龙888 自研影像芯片 哈苏影像 5000万双主摄 120Hz 高刷屏 80W超级闪充 5G
10万+,,2499.00,iQOO京东官方自营旗舰店,vivo iQOO Neo6 SE 12GB+256GB 霓虹 高通骁龙870 双电芯80W闪充 OIS光学防抖  双模5G全网通
10万+,,2999.00,小米京东自营旗舰店,小米12X 骁龙870 黄金手感 6.28英寸视感屏 120Hz高刷 5000万超清主摄 67W快充 8GB+256GB 黑色 5G
10万+,,1999.00,微星京东自营旗舰店,微星（MSI）魔龙 GeForce GTX 1660 SUPER GAMING X 6G 1660S旗舰款 电竞游戏台式电脑独立
2000+,,3299.00,七彩虹汇涓海专卖店,七彩虹（Colorful） RTX 3060Ti 火神 Ultra W白 永劫无间游戏电竞
2000+,,259.00,网际二手电脑专营店,品牌机拆机卡 1G 2G 4G
2万+,,5199.00,华硕京东自营旗舰店,华硕 ASUS TUF GeForce RTX3070TI-O8G-GAMING 电竞游戏专业独立
500+,,6699.00,联鑫官翻机专营店,联想拯救者R9000X 2021旗舰锐龙独显高性能4K屏轻薄电竞
20万+,,9499.00,联想京东自营旗舰店,联想拯救者R9000P 2022 16英寸
2万+,,7199.00,神舟电脑京东自营旗舰店,神舟(HASEE)战神Z8-DA7NP 新12代i7-12700H RTX3060 15.6英寸
2万+,,5799.00,神舟电脑京东自营旗舰店,神舟(HASEE)战神Z7-DA7NP 新12代i7-12700H RTX3050 15.6英寸
5万+,,2599.00,七彩虹京东自营旗舰店,七彩虹（Colorful）战斧 GeForce RTX 2060豪华版 12G 1650MHz GDDR6 电竞游戏电脑
500+,,8599.00,蓝宝石旗舰店,蓝宝石（Sapphire） RX 6950XT 16G D6 超白金极光特别版 蓝宝石游戏
2万+,,7999.00,华硕京东自营官方旗舰店,华硕天选3 锐龙版15.6英寸
100+,,5599.00,惠普易企营专卖店,惠普（HP） 星17青春版 小欧17.3英寸IPS大屏商务家用
2万+,,7199.00,联想航电授权专卖店,联想（Lenovo） 拯救者r7000 ps设计锐龙R5六核吃鸡
2万+,,9999.00,华硕京东自营官方旗舰店,华硕天选3 Plus 锐龙版17.3英寸
10万+,,3299.00,iQOO京东官方自营旗舰店,vivo iQOO 8 12GB+256GB 耀 120W闪充 骁龙888 独立显示芯片 KPL官方赛事电竞
10万+,,1999.00,真我realme京东自营旗舰店,realme 真我GT Neo2 骁龙870 三星E4 AMOLED 120Hz旗舰屏 5000mAh大电池 65W闪充 8+128GB 黑薄荷 游戏5G
2万+,,3999.00,华硕京东自营旗舰店,华硕 ASUS TUF  GeForce  RTX3060TI-O8G-V2-GAMING 电竞游戏专业独立
5万+,,1599.00,华硕京东自营旗舰店,华硕（ASUS）电竞特工TUF-GeForce GTX 1650 SUPER-O4G-GAMING 1650S 1530-1800MHz 12002MHz吃鸡游戏
5万+,,2299.00,华硕京东自营旗舰店,华硕 ASUS TUF GeForce RTX3050-O8G-GAMING 电竞游戏专业独立
1万+,,7599.00,七彩虹京东自营旗舰店,七彩虹（Colorful）iGame GeForce RTX 3080 Ti Advanced OC 12G 1695Mhz 赛博朋克2077电竞游戏
5000+,,1138.00,海鲅旗舰店,国行【2022全新酷睿i7+独显】
2万+,,6999.00,华硕京东自营官方旗舰店,华硕天选3 锐龙版15.6英寸
5万+,,4599.00,微星京东自营旗舰店,微星（MSI）魔龙Z GeForce RTX 3070 GAMING Z TRIO 8G LHR 超频版 旗舰款 电竞游戏设计专业电脑
1000+,,13699.00,七彩虹京东自营旗舰店,七彩虹（Colorful）火神iGame GeForce RTX 3090 Ti Vulcan OC 24G  设计视频渲染游戏
2万+,,909.00,铭影旗舰店,铭影（MINGYING） GTX1060 系列
1000+,,3199.00,优选二手电脑专营店,华硕（ASUS）天选二手
1000+,,6599.00,机械革命游戏本京东自营旗舰店,机械革命蛟龙5＆7E增强版 2022款
2000+,,5578.00,华硕乐创祥明专卖店,华硕（ASUS） 天选2 AMD新锐龙八核15.6英寸
5万+,,798.00,京东之家官方旗舰店,荣耀畅玩20 4G全网通老人学生智能
5万+,,2099.00,摩托罗拉手机京东自营官方旗舰店,摩托罗拉moto edge S30 骁龙888+ 1亿像素 144Hz高刷电竞屏 5000mAh大电池 5G旗舰
5万+,,3999.00,七彩虹京东自营旗舰店,七彩虹（Colorful）iGame GeForce RTX 3060 Ti Advanced OC 8G LHR 1800MHz 电竞游戏光追电脑
2000+,,10999.00,玩家国度ROG京东自营官方旗舰店,ROG幻14 2022 14英寸设计师轻薄高性能
10万+,,5499.00,神舟电脑京东自营旗舰店,神舟(HASEE)战神S7T-TA7NP 15.6英寸
2万+,,2288.00,新茂二手电脑专营店,联想（Lenovo) 拯救者15.6寸 Y7000/ R720高刷电竞屏吃鸡设计
5万+,,2699.00,华硕京东自营旗舰店,华硕 ASUS DUAL  GeForce RTX2060-O12G-EVO 电竞游戏专业独立
5万+,,3299.00,微星京东自营旗舰店,微星（MSI）魔龙 GeForce RTX 3060 GAMING X 12G 超频版 旗舰款 电竞游戏设计专业电脑
500+,,1199.00,方鑫数码专营店,七彩虹（Colorful） )GTX1650/1030/710
5万+,,5799.00,微星京东自营旗舰店,微星（MSI）超龙X GeForce RTX 3070 Ti SUPRIM X 8G  超旗舰 超频版 电竞游戏设计智能学习电脑独立
2万+,,2199.00,技嘉京东自营官方旗舰店,技嘉魔鹰 GIGABYTE GeForce RTX 3050 GAMING OC 魔鹰 8G 电竞游戏设计智能学习电脑独立
2万+,,5399.00,七彩虹京东自营旗舰店,七彩虹（Colorful）iGame GeForce RTX 3070 Ti Vulcan OC 8G 1770-1860Mhz 赛博朋克2077游戏光追电脑
2万+,,1599.00,七彩虹京东自营旗舰店,七彩虹（Colorful）iGame GeForce GTX 1650 Ultra OC 4GD6 1590-1725MHz GDDR6台式电脑游戏
5万+,,2099.00,华硕京东自营旗舰店,华硕 ASUS DUAL GeForce RTX3050-O8G 电竞游戏专业独立
2000+,,5999.00,七彩虹（Colorful）电脑官方京东自营旗舰店,七彩虹(Colorful)将星X15-XS12代酷睿15.6英寸
10万+,,6999.00,联想西南授权专卖店,联想（Lenovo） 拯救者R7000 Ps设计电竞
1万+,,9299.00,华硕电脑官方旗舰店,华硕天选3 第12代英特尔酷睿i7 高颜值高性能电竞高端
2000+,,3099.00,Colorfire旗舰店,七彩虹（COLORFUL） RTX 3060 3060ti ULTRA W 3070 AD OC
5万+,,2499.00,影驰京东自营旗舰店,影驰（Galaxy）GeForce RTX 3050 大将 OC N卡/电竞专业游戏
2万+,,2599.00,盈通显卡京东自营旗舰店,盈通（yeston）GeForce RTX3060-12G D6 大地之神 1320-1777MHz 电竞游戏光追独立
5万+,,4199.00,七彩虹京东自营旗舰店,七彩虹（Colorful）火神 iGame GeForce RTX 3060 Ti Vulcan OC 8G LHR 1815MHz 游戏光追电脑
2000+,,619.00,磐镭电脑组件京东自营旗舰店,磐镭 AMD RX550/5500XT/6500XT
11,,30499.00,英伟达比格专卖店,英伟达（NVIDIA） RTX A6000 专业
5万+,,2899.00,盈通显卡京东自营旗舰店,盈通（yeston）AMD RADEON RX 6650XT 游戏高手 7nm RDNA2架构 8GB GDDR6 电竞游戏
200+,,1699.00,华硕(ASUS) 华之硕专卖店,华硕（ASUS） TUF GAMING GTX1660TI系列 台式机电脑游戏电竞独立
5万+,,2499.00,七彩虹京东自营旗舰店,七彩虹（Colorful）战斧 GeForce RTX 2060 DUO 12G 1650MHz GDDR6 电竞游戏光追电脑
1万+,,3599.00,铭瑄京东自营旗舰店,铭瑄 (MAXSUN) MS-GeForce RTX3060Ti 终结者 8G GDDR6  电脑游戏/电竞/光追/人工智能/深度学习
5000+,,2349.00,七彩虹京东自营旗舰店,七彩虹（Colorful）iGame GeForce RTX 3050 Ultra W DUO OC 8G 1822Mhz 电竞游戏
